dir_id,inventory_number,name,n_submissions,lat,lon,pixels_per_meter,north_angle_deg,ppm_cv,entrance_std_px,flag,has_tif,has_tfw,has_georef
000760,T.E-08.07,Smocza Jama,5,49.237839,19.867733,59.05,0.0,0.0,0.53,,True,False,False
000804,T.A-12.03,Schron w Małym Żlebku,5,49.276247,19.914122,118.59,0.0,0.002,1.09,,True,False,False
000950,T.A-06.02,Siwiańska Dziura,5,49.276603,19.8267,235.73,0.007,0.001,1.86,,True,False,False
000951,T.A-12.01,Schronisko w Małym Żlebku,5,49.273786,19.912272,77.13,0.149,0.001,0.38,,True,False,False
000952,T.A-12.02,Jasiowy Schron,5,49.274222,19.914528,77.04,0.0,0.002,0.5,,True,False,False
000953,T.A-17.01,Dziura pod Nosalem,5,49.277047,19.983942,38.51,-0.056,0.0,0.55,,True,False,False
000954,T.A-17.02,Schron z Prowokatorem,5,49.277778,19.984722,77.71,0.0,0.005,0.56,,True,False,False
000955,T.A-18.01,Jaskinia Jaszczurowska Wyżnia,5,49.281894,20.002617,77.28,0.0,0.0,0.89,,True,False,False
000956,T.A-24.01,Nyża nad Jaworzyńskim Żlebem,5,49.282528,20.074139,76.87,0.087,0.003,0.53,,True,False,False
000957,T.A-24.02,Grota w Jaworzyńskim Żlebie,5,49.282083,20.074139,76.85,-0.004,0.001,0.53,,True,False,False
000958,T.A-24.03,Jaskinia w Jaworzyńskim Żlebie,5,49.282611,20.074861,76.88,0.0,0.001,0.63,,True,False,False
000959,T.B-04.01,Schron w Wielkich Koryciskach,5,49.269028,19.799675,77.76,0.192,0.004,2.29,,True,False,False
000960,T.B-09.01,Dziura w Kończystej Turni,5,49.263978,19.878553,77.16,0.0,0.001,0.5,,True,False,False
000962,T.B-09.02,Dziura w Kończystej Niżnia,5,49.264111,19.878481,77.03,0.009,0.0,0.85,,True,False,False
000969,T.B-09.03,Dziura Stanikowa Niżnia,5,49.267375,19.881086,38.38,0.109,0.008,0.64,,True,False,False
000970,T.B-09.04,Dziura Stanikowa Wyżnia,5,49.267219,19.880869,38.47,-0.039,0.005,0.33,,True,False,False
000971,T.B-09.05,Dziura Niżnia w Kończystej Turni,5,49.263614,19.878217,77.13,-0.004,0.002,0.95,,True,False,False
000972,T.B-09.06,Mała Dziura w Kończystej Turni,5,49.264156,19.878275,76.85,-0.05,0.004,0.6,,True,False,False
000975,T.B-09.07,Koleba za Kończystą,5,49.264339,19.877631,77.13,0.002,0.0,0.54,,True,False,False
000976,T.B-09.09,Nyża w Kończystej,5,49.263711,19.878969,77.14,0.0,0.001,0.48,,True,False,False
000977,T.B-09.08,Schron pod Kończystą,5,49.263347,19.878497,76.81,-0.113,0.001,0.37,,True,False,False
000978,T.B-09.10,Okap w Kończystej Turni,5,49.263622,19.879111,38.55,0.011,0.003,0.5,,True,False,False
000979,T.B-09.11,Dziura w Żlebku,5,49.262856,19.881461,77.37,0.0,0.005,0.77,,True,False,False
000980,T.D-06.04,Schronisko Dudowe Górne,5,49.245094,19.833053,195.64,0.0,0.128,1.84,high_ppm_cv,True,False,False
000981,T.D-05.01,Dziura nad Potokiem,5,49.250192,19.815269,98.03,0.0,0.001,1.32,,True,False,False
000982,T.B-09.12,Schronik w Kończystej Turni,5,49.263608,19.877736,76.68,0.0,0.005,0.47,,True,False,False
000983,T.D-04.05,Jaskinia Rybia,5,49.246781,19.812817,59.12,0.027,0.001,1.2,,True,False,False
000984,T.D-06.02,Dudowa Studnia,5,49.245125,19.832625,76.93,0.0,0.001,0.67,,True,False,False
000985,T.D-06.01,Jaskinia pod Baranami,5,49.244869,19.834981,77.03,-0.034,0.001,0.87,,True,False,False
000986,T.D-06.03,Szemrzący Schron,5,49.244981,19.8398,196.24,0.0,0.002,1.07,,True,False,False
000987,T.B-09.13,Ciasna Norka,5,49.263036,19.878917,76.78,0.0,0.0,0.72,,True,False,False
000988,T.B-09.14,Jaskinia Niska,5,49.264103,19.877725,77.01,-0.011,0.001,0.46,,True,False,False
000989,T.B-09.15,Nyża pod Progiem w Kończystej,5,49.263722,19.880208,38.67,0.0,0.006,0.84,,True,False,False
000990,T.B-09.16,Schronisko Wschodnie w Kończystej,5,49.263364,19.880078,77.35,0.0,0.004,1.08,,True,False,False
000991,T.B-10.01,Jaskinia Barłogowa,5,49.263219,19.883928,77.13,-0.003,0.0,0.42,,True,False,False
000992,T.B-10.02,Dziura za Smrekiem w Zawiesistej,5,49.263058,19.885925,76.93,-0.006,0.004,0.5,,True,False,False
000993,T.B-10.03,Szczelina Przysłopczańska,5,49.262983,19.887506,38.39,-0.028,0.001,0.46,,True,False,False
000994,T.B-12.01,Tunel w Jatkach,5,49.263706,19.920875,77.19,0.001,0.001,0.27,,True,False,False
001010,T.B-12.02,Okno w Jatkach I,5,49.263581,19.921017,76.96,0.0,0.0,0.46,,True,False,False
001011,T.B-12.03,Okno w Jatkach II,5,49.263572,19.921031,77.44,0.0,0.002,0.43,,True,False,False
001012,T.B-12.04,Jaskinia w Jatkach,5,49.263572,19.921031,77.75,-0.091,0.0,0.29,,True,False,False
001013,T.B-12.05,Kominek w Jatkach,5,49.263436,19.92095,77.83,0.0,0.003,0.31,,True,False,False
001014,T.B-12.07,Dziurawa Nisza w Jatkach,5,49.265003,19.921878,38.55,-0.006,0.002,0.77,,True,False,False
001015,T.B-12.08,Komora w Jatkach,5,49.248519,19.922372,77.14,0.0,0.0,0.35,,True,False,False
001016,T.B-12.09,Nyża przy Jatkach,5,49.265569,19.922964,76.84,-0.074,0.001,0.56,,True,False,False
001017,T.B-13.01,Schron za Irgą,5,49.268611,19.929722,197.25,0.0,0.0,3.58,,True,False,False
001018,T.B-14.01,Dziura,5,49.271906,19.942667,59.06,-0.004,0.0,1.89,,True,False,False
001019,T.B-14.02,Dziura Wyżnia,5,49.271556,19.943386,77.08,0.0,0.003,1.59,,True,False,False
001020,T.B-14.03,Lisia Jama,5,49.271722,19.943056,195.7,0.0,0.002,4.41,,True,False,False
001030,T.B-12.06,Nisza w Jatkach,5,49.264831,19.921642,77.04,0.008,0.002,0.93,,True,False,False
001031,T.B-17.01,Jaskinia w Cycku,5,49.266111,19.977778,77.16,0.0,0.001,0.6,,True,False,False
001033,T.B-24.01,Grota Filipczańska nad Mostkiem,5,49.27325,20.080056,77.22,0.001,0.001,0.74,,True,False,False
001034,T.B-24.02,Filipczańska Szczelina,5,49.27325,20.080056,76.97,-0.082,0.003,0.28,,True,False,False
001035,T.B-24.03,Grota Filipczańska Wyżnia,5,49.273861,20.077583,77.11,0.0,0.001,0.51,,True,False,False
001036,T.B-24.04,Jaskinia Filipczańska Niżnia,5,49.273917,20.077139,38.53,0.0,0.004,0.48,,True,False,False
001037,T.C-05.01,Schronisko w Międzyścianach I,5,49.253106,19.819842,195.94,-0.002,0.005,1.46,,True,False,False
001038,T.C-05.02,Schronisko w Międzyścianach II,5,49.252939,19.820217,195.82,0.0,0.001,1.46,,True,False,False
001039,T.C-05.03,Schronisko w Międzyścianach III,5,49.252894,19.820411,77.35,0.0,0.004,1.16,,True,False,False
